WORD,FREQUENCY,TF,ONE_HOT_WORD_IN_DOC,DOC_APPEARANCES,IDF
CONTROLS,[0. 0. 2. ... 0. 0. 2.],[0.         0.         0.015625   ... 0.         0.         0.01801802],[0 0 1 ... 0 0 1],144,0.9262137858390813
ANALYZED,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],20,1.7835462822703498
DISCRIMINATION,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],3,2.6074550232146687
BETWEEN,[0. 0. 2. ... 0. 2. 0.],[0.         0.         0.015625   ... 0.         0.01449275 0.        ],[0 0 1 ... 0 1 0],243,0.6989700043360189
FOUND,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],274,0.646825715113943
BE,[0. 0. 3. ... 0. 2. 2.],[0.         0.         0.0234375  ... 0.         0.01449275 0.01801802],[0 0 1 ... 0 1 1],606,0.30210365376804477
PRECISE,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],6,2.3064250275506875
INDIVIDUALS,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],72,1.2272437815030626
ABOVE,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],31,1.5932145841000582
SHOULD,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],103,1.0717390532291589
ACCEPTED,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],11,2.043183592776106
DIAGNOSTIC,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],58,1.3211482843713938
TEST,[0. 0. 1. ... 1. 0. 0.],[0.         0.         0.0078125  ... 0.00502513 0.         0.        ],[0 0 1 ... 1 0 0],157,0.8886766255250973
AFTER,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],156,0.8914516795798695
COULD,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],122,0.9982164472595827
NOT,[0. 0. 1. ... 1. 1. 0.],[0.         0.         0.0078125  ... 0.00502513 0.00724638 0.        ],[0 0 1 ... 1 1 0],452,0.4294378431229489
DETECTED,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],61,1.299246442923564
DURING,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],130,0.9706329256274943
FIRST,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],85,1.1551573522200382
FIVE,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],49,1.3943801979058172
DAYS,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],36,1.5282737771670438
BIG,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],1,3.084576277934331
OVERLAP,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],17,1.854127356556057
THOSE,[0. 0. 1. ... 1. 0. 0.],[0.         0.         0.0078125  ... 0.00502513 0.         0.        ],[0 0 1 ... 1 0 0],179,0.8317232469544378
MAKES,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],15,1.9084850188786497
INVALUABLE,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],1,3.084576277934331
EARLY,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],77,1.198085552761849
USED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],127,0.9807725569783742
DEVELOPMENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],60,1.3064250275506875
THREE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],124,0.9911545927720959
YEARS,[0. 0. 0. ... 0. 0. 1.],[0.         0.         0.         ... 0.         0.         0.00900901],[0 0 0 ... 0 0 1],144,0.9262137858390813
OLD,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],18,1.8293037728310249
SAMPLED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
TESTS,[0. 0. 0. ... 4. 0. 0.],[0.        0.        0.        ... 0.0201005 0.        0.       ],[0 0 0 ... 1 0 0],106,1.0592704126695607
DIFFERENT,[0. 0. 0. ... 1. 0. 0.],[0.         0.         0.         ... 0.00502513 0.         0.        ],[0 0 0 ... 1 0 0],107,1.0551925002491214
ERRORS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],10,2.084576277934331
RESULT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],63,1.2852357284807492
STUDY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],188,0.8104184286706511
COLLECTION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],13,1.9706329256274941
ROUTINE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],27,1.6532125137753437
OUTLINED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
EASILY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],13,1.9706329256274941
WASHED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
RISK,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],31,1.5932145841000582
CONTAMINATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
NAILS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
SEEMS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],42,1.4613269875364305
SMALL,[0. 0. 0. ... 3. 0. 0.],[0.         0.         0.         ... 0.01507538 0.         0.        ],[0 0 0 ... 1 0 0],74,1.2153445582033549
DISTRIBUTION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],35,1.5405082335840554
INHOMOGENEOUS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CONTENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],53,1.360300408333542
VARIES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
ALSO,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],194,0.796774548004105
SAME,[0. 0. 0. ... 1. 0. 0.],[0.         0.         0.         ... 0.00502513 0.         0.        ],[0 0 0 ... 1 0 0],99,1.0889410833367812
PERSON,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],7,2.2394782379200744
GOOD,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],26,1.6696029299635131
EVIDENCE,[0. 0. 0. ... 1. 0. 0.],[0.         0.         0.         ... 0.00502513 0.         0.        ],[0 0 0 ... 1 0 0],91,1.1255348856132374
INCREASED,[0. 0. 0. ... 1. 0. 0.],[0.         0.         0.         ... 0.00502513 0.         0.        ],[0 0 0 ... 1 0 0],186,0.8150633337164147
COMES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
SWEAT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],134,0.9574714795695234
BASIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],43,1.4511078223547444
INTRINSIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],15,1.9084850188786497
LEVEL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],60,1.3064250275506875
ABOUT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],54,1.3521825181113625
PRECISION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],6,2.3064250275506875
ACCURACY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
DETERMINING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],11,2.043183592776106
CONSIDERED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],63,1.2852357284807492
SATISFACTORY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],7,2.2394782379200744
IT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],363,0.5246696528982184
CONCLUDED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],31,1.5932145841000582
CONCENTRATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],96,1.1023050448947627
SUITABLE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],21,1.7623569832004118
AN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],434,0.4470865484218203
AID,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],9,2.130333768495006
DIAGNOSIS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],155,0.8942445797640395
IF,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],94,1.1114484243346323
CAPACITY,[0. 0. 0. ... 1. 0. 0.],[0.         0.         0.         ... 0.00502513 0.         0.        ],[0 0 0 ... 1 0 0],43,1.4511078223547444
DUODENAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],17,1.854127356556057
JUICE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
HYDROLYSE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CASEIN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
TRICHLOROACETIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
PEPTIDES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
INVESTIGATED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],64,1.2783963039504438
GROUP,[0. 0. 0. ... 0. 0. 1.],[0.         0.         0.         ... 0.         0.         0.00900901],[0 0 0 ... 0 0 1],161,0.8777504019024813
INFANTS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],78,1.1924816752438505
ENTEROGENIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
MALABSORPTION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],42,1.4613269875364305
COW,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
PROTEIN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],109,1.0471497799937073
INTOLERANCE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],9,2.130333768495006
PROTEOLYTIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],15,1.9084850188786497
PER,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],82,1.1707624255506142
ML,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],12,2.005395031886706
FASTING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
CONDITION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],47,1.4124784199986136
GREAT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],32,1.579426299614425
MG,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],21,1.7623569832004118
CORRELATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],59,1.3137242662921869
TRYPSIN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],32,1.579426299614425
INSUFFICIENCY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],54,1.3521825181113625
EXTREMELY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],13,1.9706329256274941
MEASURABLE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
WHEREAS,[0. 0. 0. ... 1. 1. 0.],[0.         0.         0.         ... 0.00502513 0.00724638 0.        ],[0 0 0 ... 1 1 0],56,1.3363882509281306
WITHIN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],73,1.221253417813875
RANGES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
INFLUENCE,[0. 0. 0. ... 0. 0. 1.],[0.         0.         0.         ... 0.         0.         0.00900901],[0 0 0 ... 0 0 1],27,1.6532125137753437
CHRONIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],139,0.9415614776802359
PS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
OCCURRENCE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],29,1.6221782800353748
BONE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],12,2.005395031886706
LYMPHOCYTES,[0. 0. 0. ... 0. 1. 0.],[0.         0.         0.         ... 0.         0.00724638 0.        ],[0 0 0 ... 0 1 0],18,1.8293037728310249
CELLS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],116,1.0201182887074125
PERIPHERAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],18,1.8293037728310249
BLOOD,[0. 0. 0. ... 0. 2. 0.],[0.         0.         0.         ... 0.         0.01449275 0.        ],[0 0 0 ... 0 1 0],88,1.1400936057841624
GROUPS,[0. 0. 0. ... 0. 0. 1.],[0.         0.         0.         ... 0.         0.         0.00900901],[0 0 0 ... 0 0 1],114,1.0276714265978584
SUFFERED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
PRODUCED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],49,1.3943801979058172
MULTIPLE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],21,1.7623569832004118
CROSSED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],12,2.005395031886706
IMMUNOELECTROPHORESIS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],17,1.854127356556057
OTHER,[0. 0. 0. ... 1. 0. 0.],[0.         0.         0.         ... 0.00502513 0.         0.        ],[0 0 0 ... 1 0 0],237,0.7098279319242271
NEVER,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],14,1.938448242256093
HARBOURED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
PRESENTED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],54,1.3521825181113625
DEMONSTRABLE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],10,2.084576277934331
BACTERIA,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],27,1.6532125137753437
EXAMINED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],86,1.1500778266907632
PRESENCE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],91,1.1255348856132374
SURFACE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],24,1.704365036222725
MARKERS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
RECEPTOR,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
COMPLEMENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],30,1.6074550232146685
COMPONENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],25,1.6866362692622934
EAC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
IMMUNOGLOBULINS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],18,1.8293037728310249
IMMUNOFLUORESCENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
STAINING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],10,2.084576277934331
MARKER,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],13,1.9706329256274941
SPONTANEOUS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],6,2.3064250275506875
BINDING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],27,1.6532125137753437
SHEEP,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
RED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],12,2.005395031886706
CELL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],96,1.1023050448947627
RATIO,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],49,1.3943801979058172
NEARLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],13,1.9706329256274941
IDENTICAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],26,1.6696029299635131
TOTAL,[0. 0. 0. ... 1. 0. 2.],[0.         0.         0.         ... 0.00502513 0.         0.01801802],[0 0 0 ... 1 0 1],96,1.1023050448947627
NUMBERS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],23,1.722848441916738
SIGNIFICANT,[0. 0. 0. ... 0. 0. 1.],[0.         0.         0.         ... 0.         0.         0.00900901],[0 0 0 ... 0 0 1],194,0.796774548004105
HIGHER,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],116,1.0201182887074125
POSITIVELY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],6,2.3064250275506875
WHERAS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
INSIGNIFICANT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
MONTHLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
BACTERIOLOGICAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],11,2.043183592776106
EXAMINATIONS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],6,2.3064250275506875
TRACHEAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],28,1.6374182465921119
SECRETIONS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],56,1.3363882509281306
POLYVALENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
ANTIGEN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],17,1.854127356556057
PREVALENCE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],23,1.722848441916738
RATE,[0. 0. 0. ... 2. 0. 0.],[0.         0.         0.         ... 0.01005025 0.         0.        ],[0 0 0 ... 1 0 0],71,1.2333179292152556
HARBOURING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],37,1.516374553867336
NEWLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
COLONIZED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
INTERMITTENTLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
STRAINS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],55,1.3442135884400872
PREDOMINATING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
MUCOID,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],38,1.5047926813175208
CHRONICALLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],20,1.7835462822703498
ESPECIALLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],37,1.516374553867336
MALES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],13,1.9706329256274941
FEMALES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],12,2.005395031886706
DURATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],13,1.9706329256274941
COLONIZATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],13,1.9706329256274941
CONTRAST,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],40,1.4825162866063686
ARE,[0. 0. 0. ... 0. 0. 2.],[0.         0.         0.         ... 0.         0.         0.01801802],[0 0 0 ... 0 0 1],473,0.4097151371965194
ACCORDANCE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
